<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20211102;14:00:00;370.9200000;371.6100000;370.5000000;370.6500000;299780
20211102;14:05:00;370.5200000;370.7000000;370.0700000;370.4800000;100100
20211102;14:10:00;370.4800000;370.6700000;369.7900000;369.8700000;233470
20211102;14:15:00;369.8400000;370.1000000;368.8000000;368.8000000;212280
20211102;14:20:00;368.8000000;369.7300000;368.7700000;369.6800000;274390
20211102;14:25:00;369.7400000;369.9500000;369.3000000;369.4900000;130290
20211102;14:30:00;369.4900000;369.6900000;369.0100000;369.2500000;194860
20211102;14:35:00;369.2300000;370.4600000;368.7300000;370.4600000;257930
20211102;14:40:00;370.4600000;370.7700000;369.9000000;370.1200000;230140
20211102;14:45:00;370.1100000;370.6300000;370.0500000;370.2600000;131960
20211102;14:50:00;370.1800000;371.1400000;370.1000000;370.9900000;204790
20211102;14:55:00;370.7700000;371.3800000;370.7700000;371.1700000;196850
20211102;15:00:00;371.0700000;371.2000000;370.4300000;370.7500000;156660
20211102;15:05:00;370.8300000;371.7700000;370.7500000;371.3100000;211300
20211102;15:10:00;371.2100000;371.3900000;370.8000000;371.2400000;142630
20211102;15:15:00;371.2400000;371.2400000;370.9000000;370.9400000;98470
20211102;15:20:00;370.9400000;371.4800000;370.5100000;370.8000000;177870
20211102;15:25:00;370.8000000;370.9500000;370.1400000;370.6000000;124040
20211102;15:30:00;370.5700000;370.9600000;370.4700000;370.8200000;110720
20211102;15:35:00;370.7500000;371.0000000;370.6700000;370.7400000;153900
20211102;15:40:00;370.7400000;370.8600000;369.6300000;369.9500000;288830
20211102;15:45:00;369.9100000;370.0800000;369.7000000;369.8200000;275250
20211102;15:50:00;369.8300000;370.1000000;369.5000000;369.8400000;161580
20211102;15:55:00;369.8300000;370.4500000;369.5900000;370.3100000;131870
20211102;16:00:00;370.3200000;370.6300000;370.1000000;370.5300000;199510
20211102;16:05:00;370.5100000;370.6100000;370.2400000;370.4900000;178150
20211102;16:10:00;370.4100000;370.5100000;369.9400000;370.4000000;185050
20211102;16:15:00;370.2900000;370.2900000;369.7000000;369.8000000;143540
20211102;16:20:00;369.7900000;370.1100000;369.5900000;369.8400000;275910
20211102;16:25:00;369.9000000;370.3000000;369.6800000;369.7800000;164350
20211102;16:30:00;369.7800000;370.1200000;369.6700000;370.1200000;176130
20211102;16:35:00;370.0600000;370.3800000;369.6000000;369.7300000;238530
20211102;16:40:00;369.6800000;370.2900000;369.5700000;370.2400000;220420
20211102;16:45:00;370.1100000;370.1100000;369.5600000;369.7800000;225380
20211102;16:50:00;369.7700000;370.2300000;369.7000000;370.2000000;102630
20211102;16:55:00;370.2000000;370.2000000;369.7400000;369.8500000;113480
20211102;17:00:00;369.9300000;370.1600000;369.7200000;369.7400000;235540
20211102;17:05:00;369.7800000;369.9600000;369.2300000;369.3400000;298080
20211102;17:10:00;369.3800000;369.8900000;369.0700000;369.8100000;325070
20211102;17:15:00;369.8900000;370.9900000;369.8400000;370.8900000;574900
20211102;17:20:00;370.8800000;371.1900000;370.5000000;370.9600000;332560
20211102;17:25:00;370.9600000;371.7000000;370.8500000;371.2100000;715410
20211102;17:30:00;371.2100000;371.4300000;370.9100000;371.0400000;176620
20211102;17:35:00;371.0300000;371.4200000;370.8200000;371.2200000;182890
20211102;17:40:00;371.2200000;371.3000000;370.8600000;371.0800000;152940
20211102;17:45:00;371.0800000;371.3000000;370.7600000;370.8400000;149760
20211102;17:50:00;370.9100000;370.9900000;370.5600000;370.8000000;110340
20211102;17:55:00;370.8000000;371.9000000;370.7900000;371.7500000;355620
20211102;18:00:00;371.8000000;373.0000000;371.7500000;372.7500000;1024650
20211102;18:05:00;372.8000000;373.3700000;372.6300000;372.8000000;572440
20211102;18:10:00;372.8000000;373.1900000;372.6100000;372.8100000;382950
20211102;18:15:00;372.9900000;373.0000000;372.5900000;372.6600000;181470
20211102;18:20:00;372.6500000;372.7000000;372.3200000;372.5200000;223570
20211102;18:25:00;372.6000000;372.7700000;372.0700000;372.3000000;238530
20211102;18:30:00;372.3200000;372.6900000;372.0600000;372.3200000;163580
20211102;18:35:00;372.3200000;372.3300000;371.6900000;371.9100000;297690
20211102;18:40:00;371.9000000;372.2000000;371.7500000;371.9600000;368040
20211102;18:50:00;371.1700000;371.1700000;371.1700000;371.1700000;1909130
20211102;19:05:00;371.0800000;371.0800000;371.0800000;371.0800000;5010
20211102;19:10:00;371.0900000;371.2700000;370.9200000;371.0600000;65670
20211102;19:15:00;371.2000000;371.3700000;371.0500000;371.2000000;71740
20211102;19:20:00;371.2600000;371.3100000;371.0200000;371.2700000;14810
20211102;19:25:00;371.1800000;371.3000000;371.0700000;371.0700000;12650
20211102;19:30:00;371.0600000;371.2200000;370.8900000;371.0100000;23480
20211102;19:35:00;371.0700000;371.1600000;370.8000000;370.9400000;56730
20211102;19:40:00;370.9400000;371.0800000;370.8000000;370.9000000;27390
20211102;19:45:00;370.9000000;371.0500000;370.8400000;370.8800000;45740
20211102;19:50:00;370.8900000;371.0100000;370.6100000;370.9600000;55330
20211102;19:55:00;370.9600000;371.1600000;370.8800000;371.0400000;41330
20211102;20:00:00;371.0400000;371.4300000;371.0000000;371.1900000;73690
20211102;20:05:00;371.2000000;371.4500000;371.1500000;371.3800000;26740
20211102;20:10:00;371.3800000;371.4900000;371.2400000;371.4700000;13720
20211102;20:15:00;371.4700000;371.5700000;371.3300000;371.5500000;24330
20211102;20:20:00;371.5500000;371.5500000;370.8000000;370.9700000;147230
20211102;20:25:00;370.9800000;371.1700000;370.9000000;371.1600000;62970
20211102;20:30:00;371.1600000;371.1600000;370.8700000;371.0500000;32840
20211102;20:35:00;370.9600000;371.0800000;370.9500000;371.0000000;32330
20211102;20:40:00;371.0100000;371.3800000;371.0000000;371.3100000;29860
20211102;20:45:00;371.3500000;371.4000000;371.0500000;371.0700000;162510
20211102;20:50:00;371.0600000;371.1600000;371.0000000;371.1300000;58910
20211102;20:55:00;371.1000000;371.2300000;371.0300000;371.2300000;4060
20211102;21:00:00;371.2300000;371.3900000;371.2300000;371.3900000;8350
20211102;21:05:00;371.3900000;371.3900000;371.2500000;371.3900000;23870
20211102;21:10:00;371.2600000;371.3900000;371.2500000;371.3100000;13160
20211102;21:15:00;371.3400000;371.3700000;371.2500000;371.3000000;8700
20211102;21:20:00;371.3700000;371.7100000;371.3000000;371.6900000;82470
20211102;21:25:00;371.7000000;371.7700000;371.6800000;371.7500000;62360
20211102;21:30:00;371.7500000;371.9400000;371.7300000;371.7800000;57620
20211102;21:35:00;371.7700000;371.8200000;371.4900000;371.7000000;49110
20211102;21:40:00;371.7800000;371.7800000;371.4600000;371.6900000;10090
20211102;21:45:00;371.5900000;371.6200000;371.4100000;371.4900000;14830
20211102;21:50:00;371.4100000;371.6100000;371.4100000;371.6100000;10490
20211102;21:55:00;371.6200000;371.6700000;371.2400000;371.2600000;8050
20211102;22:00:00;371.2500000;371.5000000;371.2300000;371.5000000;15860
20211102;22:05:00;371.3700000;371.7800000;371.3500000;371.7200000;44480
20211102;22:10:00;371.6000000;371.7400000;371.5100000;371.7100000;8650
20211102;22:15:00;371.7000000;371.7000000;371.5000000;371.6600000;9200
20211102;22:20:00;371.6500000;371.6600000;371.4600000;371.5900000;16990
20211102;22:25:00;371.5900000;371.6200000;371.5700000;371.6200000;4470
20211102;22:30:00;371.6200000;371.6200000;371.5000000;371.5100000;6260
20211102;22:35:00;371.5500000;371.5900000;371.4000000;371.5000000;20140
20211102;22:40:00;371.5000000;371.5000000;371.2000000;371.2000000;7310
20211102;22:45:00;371.2000000;371.3100000;371.1000000;371.1700000;50560
20211102;22:50:00;371.1700000;371.1900000;371.1000000;371.1600000;7710
20211102;22:55:00;371.1000000;371.1500000;370.9800000;371.0900000;27160
20211102;23:00:00;370.9800000;371.1900000;370.9700000;371.1900000;24410
20211102;23:05:00;371.1900000;371.2000000;371.0100000;371.2000000;46620
20211102;23:10:00;371.2000000;371.2000000;371.1900000;371.1900000;42880
20211102;23:15:00;371.2000000;371.2000000;371.1700000;371.2000000;41760
20211102;23:20:00;371.2000000;371.2000000;370.9000000;370.9500000;68580
20211102;23:25:00;371.0000000;371.0700000;370.9200000;370.9300000;14320
20211102;23:30:00;371.0000000;371.0500000;370.8600000;370.9200000;5670
20211102;23:35:00;371.0000000;371.0000000;370.8500000;370.8500000;22000
20211102;23:40:00;370.8500000;370.9300000;370.7300000;370.8000000;18740
20211102;23:45:00;370.7900000;370.8200000;370.0000000;370.4500000;259150
20211102;23:50:00;370.6000000;370.7000000;370.4000000;370.7000000;18100
